Alces alces
Syringa vulgaris
Syringa X chinensis
Epifagus virginiana
Euphrasia nemorosa
Euphrasia randii
Euphrasia stricta
Melampyrum lineare
Odontites vernus ssp. serotinus
Orobanche uniflora
Pedicularis canadensis
Rhinanthus minor
Callitriche heterophylla
Callitriche palustris
Chelone glabra
Chelone lyonii
Digitalis purpurea
Hippuris vulgaris
Linaria dalmatica
Linaria maroccana
Linaria repens
Linaria vulgaris
Nuttallanthus canadensis
Penstemon digitalis
Plantago aristata
Plantago lanceolata
Plantago major
Plantago major var. intermedia
Plantago major var. pilgeri
Plantago maritima var. juncoides
Veronica arvensis
Veronica chamaedrys
Veronica longifolia
Veronica officinalis
Veronica peregrina
Veronica peregrina ssp. xalapensis
Veronica persica
Veronica scutellata
Veronica serpyllifolia
Veronicastrum virginicum
Scrophularia lanceolata
Verbascum blattaria
Verbascum phlomoides
Verbascum thapsus
Verbena hastata
Uvularia sessilifolia
Clintonia borealis
Erythronium americanum
Lilium canadense
Lilium lancifolium
Lilium philadelphicum
Medeola virginiana
Streptopus amplexifolius
Streptopus lanceolatus
Trillium cernuum
Trillium undulatum
Veratrum viride
Diphasiastrum complanatum
Diphasiastrum digitatum
Diphasiastrum tristachyum
Huperzia appalachiana
Huperzia lucidula
Huperzia selago
Lycopodiella appressa
Lycopodiella inundata
Lycopodium annotinum
Lycopodium clavatum
Lycopodium dendroideum
Lycopodium lagopus
Lycopodium lucidulum var. occidentale
Lycopodium obscurum
Elatine americana
Elatine minima
Chamaesyce maculata
Euphorbia cyparissias
Euphorbia peplus
Hypericum boreale
Hypericum canadense
Hypericum ellipticum
Hypericum gentianoides
Hypericum majus
Hypericum mutilum
Hypericum perforatum
Hypericum prolificum
Hypericum punctatum
Triadenum fraseri
Triadenum virginicum
Linum catharticum
Linum usitatissimum
Radiola linoides
Populus alba
Populus balsamifera
Populus grandidentata
Populus tremuloides
Populus X gileadensis
Salix alba var. vitellina
Salix bebbiana
Salix discolor
Salix eriocephala
Salix fragilis
Salix humilis
Salix humilis var. tristis
Salix lucida
Salix pentandra
Salix petiolaris
Salix purpurea
Salix pyrifolia
Salix sericea
Salix viminalis
Salix X rubens
Viola adunca
Viola blanda
Viola blanda var. palustriformis
Viola cucullata
Viola labradorica
Viola lanceolata
Viola macloskeyi ssp. pallens
Viola primulifolia
Viola renifolia
Viola sagittata var. ovata
Viola sororia
Viola tricolor
Hudsonia ericoides
Hudsonia tomentosa
Lechea intermedia
Lechea intermedia var. juniperina
Malva alcea
Malva moschata
Malva neglecta
Malva rotundifolia
Malva verticillata
Tilia cordata
Tilia platyphyllos
Decodon verticillatus
Lythrum salicaria
Rhexia virginica
Circaea alpina
Circaea lutetiana ssp. canadensis
Epilobium angustifolium
Epilobium ciliatum
Epilobium ciliatum ssp. glandulosum
Epilobium coloratum
Epilobium leptophyllum
Epilobium palustre
Epilobium strictum
Ludwigia palustris
Oenothera biennis
Oenothera fruticosa
Oenothera laciniata
Oenothera parviflora
Oenothera perennis
Oenothera pilosella
Brasenia schreberi
Nuphar advena
Nuphar variegata
Nymphaea odorata ssp. odorata
Nymphaea odorata ssp. tuberosa
Botrychium dissectum
Botrychium lanceolatum ssp. angustisegmentum
Botrychium lunaria
Botrychium matricariifolium
Botrychium multifidum
Botrychium simplex
Botrychium virginianum
Ophioglossum pusillum
Osmunda cinnamomea
Osmunda claytoniana
Osmunda regalis var. spectabilis
Oxalis montana
Oxalis stricta
Juniperus communis var. depressa
Juniperus horizontalis
Thuja occidentalis
Abies balsamea
Larix laricina
Picea abies
Picea glauca
Picea mariana
Picea rubens
Pinus banksiana
Pinus resinosa
Pinus rigida
Pinus strobus
Pinus sylvestris
Tsuga canadensis
Taxus canadensis
Aristolochia macrophylla
